N,dTE,t_min,t_max,T_min,T_max,gamma,SNR,n_per_sample,bbp,s1_over_s0,s2_over_s0,s3_over_s0,s4_over_s0,picard_2c,picardraw_2c,energy_2c,picard_3c,picardraw_3c,energy_3c
8,40.0,40.0,320.0,10.0,100.0,10.0,30,2,1.75,0.15722164600353622,0.027950485343485126,0.0047711768032718555,0.0007081379221029868,2,2,2,3,3,2
8,40.0,40.0,320.0,10.0,100.0,10.0,100,3,2.31,0.15722164600353622,0.027950485343485126,0.0047711768032718555,0.0007081379221029868,2,2,3,5,5,3
8,40.0,40.0,320.0,10.0,100.0,10.0,300,4,2.82,0.15722164600353622,0.027950485343485126,0.0047711768032718555,0.0007081379221029868,3,2,3,6,6,4
8,40.0,40.0,320.0,10.0,100.0,10.0,1000,4,3.38,0.15722164600353622,0.027950485343485126,0.0047711768032718555,0.0007081379221029868,4,4,4,6,6,4
8,40.0,40.0,320.0,10.0,1000.0,100.0,30,3,3.5,0.1995767580146151,0.043151913033649715,0.008422563599451607,0.0014063433390120478,3,2,2,3,2,2
8,40.0,40.0,320.0,10.0,1000.0,100.0,100,3,4.62,0.1995767580146151,0.043151913033649715,0.008422563599451607,0.0014063433390120478,3,3,3,3,3,3
8,40.0,40.0,320.0,10.0,1000.0,100.0,300,4,5.65,0.1995767580146151,0.043151913033649715,0.008422563599451607,0.0014063433390120478,4,4,4,3,4,4
8,40.0,40.0,320.0,10.0,1000.0,100.0,1000,5,6.77,0.1995767580146151,0.043151913033649715,0.008422563599451607,0.0014063433390120478,5,5,4,4,4,5
8,40.0,40.0,320.0,5.0,2000.0,400.0,30,3,4.55,0.1837274072169841,0.03924812168726246,0.00767218554304514,0.0012901588838082083,3,3,2,3,2,2
8,40.0,40.0,320.0,5.0,2000.0,400.0,100,3,6.01,0.1837274072169841,0.03924812168726246,0.00767218554304514,0.0012901588838082083,3,4,3,3,3,3
8,40.0,40.0,320.0,5.0,2000.0,400.0,300,4,7.35,0.1837274072169841,0.03924812168726246,0.00767218554304514,0.0012901588838082083,4,4,4,4,4,4
