axis,tissue_key,condition,constrained,n_echoes,dTE_ms,snr,noise,sigma_joint,max_relSD_T2,functional,functional_value,functional_SD,delta
snr,brain_wm,normal,0,32,10.0,20.0,rician,0,151.0799786869121,myelin water fraction (mass below 40 ms),0.113,0.4051191738267931,-0.0605
snr,brain_wm,normal,0,32,10.0,30.0,rician,0,90.46210752813633,myelin water fraction (mass below 40 ms),0.113,0.2567585641578279,-0.0605
snr,brain_wm,normal,0,32,10.0,50.0,rician,0,50.49977923370425,myelin water fraction (mass below 40 ms),0.113,0.14919554173776567,-0.0605
snr,brain_wm,normal,0,32,10.0,70.0,rician,0,35.353737430767396,myelin water fraction (mass below 40 ms),0.113,0.10564349835605182,-0.0605
snr,brain_wm,normal,0,32,10.0,100.0,rician,0,24.519553083149347,myelin water fraction (mass below 40 ms),0.113,0.07365052595371915,-0.0605
snr,brain_wm,normal,0,32,10.0,150.0,rician,0,16.274280059066072,myelin water fraction (mass below 40 ms),0.113,0.04900398407591898,-0.0605
snr,brain_wm,normal,0,32,10.0,200.0,rician,0,12.187628036823321,myelin water fraction (mass below 40 ms),0.113,0.03672866089368066,-0.0605
snr,brain_wm,normal,0,32,10.0,300.0,rician,0,8.116626824190929,myelin water fraction (mass below 40 ms),0.113,0.02447436503833488,-0.0605
snr,brain_wm,normal,0,32,10.0,500.0,rician,0,4.867405455467659,myelin water fraction (mass below 40 ms),0.113,0.014681146380657963,-0.0605
snr,brain_wm,normal,0,32,10.0,700.0,rician,0,3.476214595502743,myelin water fraction (mass below 40 ms),0.113,0.010485852394699069,-0.0605
snr,brain_wm,normal,0,32,10.0,1000.0,rician,0,2.4331632244895607,myelin water fraction (mass below 40 ms),0.113,0.007339843851156928,-0.0605
snr,brain_wm,normal,0,32,10.0,1500.0,rician,0,1.6220423284618934,myelin water fraction (mass below 40 ms),0.113,0.004893139328221744,-0.0605
snr,brain_wm,normal,0,32,10.0,2000.0,rician,0,1.2165142997948726,myelin water fraction (mass below 40 ms),0.113,0.003669830903453232,-0.0605
snr,brain_wm,normal,0,32,10.0,3000.0,rician,0,0.8110012266408416,myelin water fraction (mass below 40 ms),0.113,0.0024465427024933156,-0.0605
snr,brain_wm,normal,1,32,10.0,20.0,rician,0,4.009015933207498,myelin water fraction (mass below 40 ms),0.113,0.20304734686198406,-0.0605
snr,brain_wm,normal,1,32,10.0,30.0,rician,0,2.6080875472757428,myelin water fraction (mass below 40 ms),0.113,0.13060849836336205,-0.0605
snr,brain_wm,normal,1,32,10.0,50.0,rician,0,1.5405029728815989,myelin water fraction (mass below 40 ms),0.113,0.07663090437476577,-0.0605
snr,brain_wm,normal,1,32,10.0,70.0,rician,0,1.0956711454090637,myelin water fraction (mass below 40 ms),0.113,0.05441089519755096,-0.0605
snr,brain_wm,normal,1,32,10.0,100.0,rician,0,0.7654552305614787,myelin water fraction (mass below 40 ms),0.113,0.037983605895897714,-0.0605
snr,brain_wm,normal,1,32,10.0,150.0,rician,0,0.5098160263460083,myelin water fraction (mass below 40 ms),0.113,0.02528908596122909,-0.0605
snr,brain_wm,normal,1,32,10.0,200.0,rician,0,0.3822388510769877,myelin water fraction (mass below 40 ms),0.113,0.01895841380314233,-0.0605
snr,brain_wm,normal,1,32,10.0,300.0,rician,0,0.25476812254153447,myelin water fraction (mass below 40 ms),0.113,0.012635005498603294,-0.0605
snr,brain_wm,normal,1,32,10.0,500.0,rician,0,0.15284328450007484,myelin water fraction (mass below 40 ms),0.113,0.00757980547928755,-0.0605
snr,brain_wm,normal,1,32,10.0,700.0,rician,0,0.1091703265098362,myelin water fraction (mass below 40 ms),0.113,0.005413912011202726,-0.0605
snr,brain_wm,normal,1,32,10.0,1000.0,rician,0,0.07641794789477933,myelin water fraction (mass below 40 ms),0.113,0.003789651223651092,-0.0605
snr,brain_wm,normal,1,32,10.0,1500.0,rician,0,0.05094484318204769,myelin water fraction (mass below 40 ms),0.113,0.0025264031470329197,-0.0605
snr,brain_wm,normal,1,32,10.0,2000.0,rician,0,0.03820851287766192,myelin water fraction (mass below 40 ms),0.113,0.0018947942249497914,-0.0605
snr,brain_wm,normal,1,32,10.0,3000.0,rician,0,0.025472285017365988,myelin water fraction (mass below 40 ms),0.113,0.001263192276576962,-0.0605
snr,brain_gm,normal,0,32,10.0,20.0,rician,0,104.18505366327628,myelin water fraction (mass below 40 ms),0.031,0.3800728050887918,
snr,brain_gm,normal,0,32,10.0,30.0,rician,0,64.34006194359814,myelin water fraction (mass below 40 ms),0.031,0.24465166787975007,
snr,brain_gm,normal,0,32,10.0,50.0,rician,0,36.98062217236813,myelin water fraction (mass below 40 ms),0.031,0.14404679985237015,
snr,brain_gm,normal,0,32,10.0,70.0,rician,0,26.14546719849425,myelin water fraction (mass below 40 ms),0.031,0.10242685811838582,
snr,brain_gm,normal,0,32,10.0,100.0,rician,0,18.213367311470158,myelin water fraction (mass below 40 ms),0.031,0.0715436844086401,
snr,brain_gm,normal,0,32,10.0,150.0,rician,0,12.112471022008977,myelin water fraction (mass below 40 ms),0.031,0.04764314700870613,
snr,brain_gm,normal,0,32,10.0,200.0,rician,0,9.076711700274581,myelin water fraction (mass below 40 ms),0.031,0.03571880392073445,
snr,brain_gm,normal,0,32,10.0,300.0,rician,0,6.047536635115716,myelin water fraction (mass below 40 ms),0.031,0.02380613242340533,
snr,brain_gm,normal,0,32,10.0,500.0,rician,0,3.62742113772448,myelin water fraction (mass below 40 ms),0.031,0.014281722056024406,
snr,brain_gm,normal,0,32,10.0,700.0,rician,0,2.5907990005792843,myelin water fraction (mass below 40 ms),0.031,0.010200845655721985,
snr,brain_gm,normal,0,32,10.0,1000.0,rician,0,1.8134790051200653,myelin water fraction (mass below 40 ms),0.031,0.007140449116179582,
snr,brain_gm,normal,0,32,10.0,1500.0,rician,0,1.208957443082654,myelin water fraction (mass below 40 ms),0.031,0.004760248599410013,
snr,brain_gm,normal,0,32,10.0,2000.0,rician,0,0.9067105867712335,myelin water fraction (mass below 40 ms),0.031,0.0035701731139693377,
snr,brain_gm,normal,0,32,10.0,3000.0,rician,0,0.6044701555416521,myelin water fraction (mass below 40 ms),0.031,0.0023801090595458145,
snr,brain_gm,normal,1,32,10.0,20.0,rician,0,14.60181768205593,myelin water fraction (mass below 40 ms),0.031,0.2017422556619101,
snr,brain_gm,normal,1,32,10.0,30.0,rician,0,9.567419563030386,myelin water fraction (mass below 40 ms),0.031,0.13179718057538817,
snr,brain_gm,normal,1,32,10.0,50.0,rician,0,5.686437026120063,myelin water fraction (mass below 40 ms),0.031,0.07823602640325426,
snr,brain_gm,normal,1,32,10.0,70.0,rician,0,4.052589062087523,myelin water fraction (mass below 40 ms),0.031,0.055743361038883416,
snr,brain_gm,normal,1,32,10.0,100.0,rician,0,2.833747071496022,myelin water fraction (mass below 40 ms),0.031,0.0389739453985056,
snr,brain_gm,normal,1,32,10.0,150.0,rician,0,1.8881230125610189,myelin water fraction (mass below 40 ms),0.031,0.02596691116473338,
snr,brain_gm,normal,1,32,10.0,200.0,rician,0,1.4158238716603961,myelin water fraction (mass below 40 ms),0.031,0.019471139596467242,
snr,brain_gm,normal,1,32,10.0,300.0,rician,0,0.9437557787098404,myelin water fraction (mass below 40 ms),0.031,0.01297885048201254,
snr,brain_gm,normal,1,32,10.0,500.0,rician,0,0.5662147020668067,myelin water fraction (mass below 40 ms),0.031,0.0077867268505080476,
snr,brain_gm,normal,1,32,10.0,700.0,rician,0,0.40443145997882596,myelin water fraction (mass below 40 ms),0.031,0.005561833191911164,
snr,brain_gm,normal,1,32,10.0,1000.0,rician,0,0.2830991928573843,myelin water fraction (mass below 40 ms),0.031,0.0038932406644713127,
